CC;SOCIETE;EMAIL;TELEPHONE
00374A;SGT;toureadama@gmail.com;07 58 67 82 24
00375K;TRANS-IT;toureadama@gmail.com;07 58 67 82 24
00377B;A2Z TRANSIT CI;toureadama@gmail.com;07 58 67 82 24
00380M;SGNA;toureadama@gmail.com;07 58 67 82 24
00383H;FM GENERAL SERVICES;toureadama@gmail.com;07 58 67 82 24
00384W;SONIATRANS;toureadama@gmail.com;07 58 67 82 24
00385N;FCL;toureadama@gmail.com;07 58 67 82 24
00387X;CONCORDE TRANSIT ABIDJAN C.T.A;toureadama@gmail.com;07 58 67 82 24
00389S;M.A.M TRANSIT;toureadama@gmail.com;07 58 67 82 24
00390G;SITOL;toureadama@gmail.com;07 58 67 82 24
00391Z;INTER TRANSIT & SERVICES (I.T.S);toureadama@gmail.com;07 58 67 82 24
00393J;INTERNATIONAL KTS;toureadama@gmail.com;07 58 67 82 24
00396L;LOGITRANS;toureadama@gmail.com;07 58 67 82 24
00400B;MEDLOG CI;toureadama@gmail.com;07 58 67 82 24
00402Y;TTI - TROPICALE TRANSIT INTER -;toureadama@gmail.com;07 58 67 82 24
00404C;SIVOTRAM;toureadama@gmail.com;07 58 67 82 24
00406H;ELITRANS - CI;toureadama@gmail.com;07 58 67 82 24
00408N;UNION CENTER TRANSIT;toureadama@gmail.com;07 58 67 82 24
00409F;SAPTRANS-CI;toureadama@gmail.com;07 58 67 82 24
00410X;SOCIETE DE TRANSIT GENERAL (STG);toureadama@gmail.com;07 58 67 82 24
00414Z;TOP TRANSIT;toureadama@gmail.com;07 58 67 82 24
00417Q;TRANSIT IVOIRE CORPORATION;toureadama@gmail.com;07 58 67 82 24
00420A;SHAZA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00422R;BLE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00424J;CEVA LOGISTICS Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
00425K;ELA;toureadama@gmail.com;07 58 67 82 24
00427H;SBM TRANSIT;toureadama@gmail.com;07 58 67 82 24
00429W;ITRAMCO;toureadama@gmail.com;07 58 67 82 24
00430Z;Etablissement AMAL(Ets AMAL);toureadama@gmail.com;07 58 67 82 24
00432J;CODHY TRANSIT;toureadama@gmail.com;07 58 67 82 24
00433M;UNION TRANSIT INTERNATIONAL;toureadama@gmail.com;07 58 67 82 24
00434L;IVOIRE TRANSIT INTERNATIONAL;toureadama@gmail.com;07 58 67 82 24
00435Q;AG TRANSIT-CI;toureadama@gmail.com;07 58 67 82 24
00436R;SOUM CARGO TRANSIT;toureadama@gmail.com;07 58 67 82 24
00437X;BOWE TRANSIT CÔTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00440K;ROCA BIANCA;toureadama@gmail.com;07 58 67 82 24
00441P;Manutention Transit Transport de CI;toureadama@gmail.com;07 58 67 82 24
00443B;SUPER TRANSIT;toureadama@gmail.com;07 58 67 82 24
00444A;EMERGENCE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00445C;SOGENA COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00448E;TRANS-EXPRESS Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
00449F;NTMB TRANSIT;toureadama@gmail.com;07 58 67 82 24
00450H;CHALLENGE AFRICAP;toureadama@gmail.com;07 58 67 82 24
00452K;INTERNATIONAL LOGISTICS;toureadama@gmail.com;07 58 67 82 24
00453L;PROFESSIONNEL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00454M;TIMAR COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00455P;TRANSLOG INTER;toureadama@gmail.com;07 58 67 82 24
00456N;OPERATIONS DE TRANSIT ET DE LOGIST;toureadama@gmail.com;07 58 67 82 24
00457Q;OMA LOGISTICS COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00458R;PRO TRANS;toureadama@gmail.com;07 58 67 82 24
00459V;SICODEF-TRANSIT;toureadama@gmail.com;07 58 67 82 24
00461T;UNIVERSAL LOGISTICS-WAC;toureadama@gmail.com;07 58 67 82 24
00462U;DISTRIMAT INTER COURRIER EXPRESS;toureadama@gmail.com;07 58 67 82 24
00463W;INTERNATIONAL PERFORM TRANSIT (IPT);toureadama@gmail.com;07 58 67 82 24
00464X;INTERNATIONALE DE TRANSIT ET DE LOG;toureadama@gmail.com;07 58 67 82 24
00466Z;MACSYL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00467A;SESOCOM;toureadama@gmail.com;07 58 67 82 24
00468B;TRAM TRANSIT;toureadama@gmail.com;07 58 67 82 24
00469C;TLC SA COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
00471E;TRIANGLE TRANSIT;toureadama@gmail.com;07 58 67 82 24
00472E;IVOIRE INTERNATIONAL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00473F;ETABLISSEMENT SORNA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00474G;AIR Côte  d'Ivoire;toureadama@gmail.com;07 58 67 82 24
00475W;FLYWAVE INTERNATIONAL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00476X;SADIA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00477Y;Logistics Corporate Group;toureadama@gmail.com;07 58 67 82 24
00478Z;ONYX TRANS;toureadama@gmail.com;07 58 67 82 24
00479C;COTIERE TRANSIT ET MANUTENTION;toureadama@gmail.com;07 58 67 82 24
00480D;FRACHT Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
00481B;SERVICE TRANSIT INTERNATIONAL(STI);toureadama@gmail.com;07 58 67 82 24
00482E;CTLM-SA;toureadama@gmail.com;07 58 67 82 24
00483F;COMEXAS Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
00485H;NEW-TRANSIT;toureadama@gmail.com;07 58 67 82 24
00486J;TRANSLEADERS;toureadama@gmail.com;07 58 67 82 24
00487K;FORTRANS LOGISTIQUE ET TRANSIT;toureadama@gmail.com;07 58 67 82 24
00488L;TRANSIT COSS;toureadama@gmail.com;07 58 67 82 24
00489M;TRANSNAVIRE;toureadama@gmail.com;07 58 67 82 24
00490N;STREAMLINE;toureadama@gmail.com;07 58 67 82 24
00491P;CTM LOGISTICS CÔTE D'IVOIRE  ;toureadama@gmail.com;07 58 67 82 24
00493R;INTEGRATED CUSTOM SOLUTIONS (ICS);toureadama@gmail.com;07 58 67 82 24
00494S;OSMOZ AFRICA;toureadama@gmail.com;07 58 67 82 24
00495T;KANAUTRANS;toureadama@gmail.com;07 58 67 82 24
00497V;AGACIA TRANSIT;toureadama@gmail.com;07 58 67 82 24
00498W;IVOIRE TRANSIT TRANSPORT INTER;toureadama@gmail.com;07 58 67 82 24
00499X;CONNECT GLOBAL FORWARDING;toureadama@gmail.com;07 58 67 82 24
00500Y;INTRA GLOBE LOGISTICS SA.;toureadama@gmail.com;07 58 67 82 24
00502A;PACIFIQUE TRANSIT IVOIRE;toureadama@gmail.com;07 58 67 82 24
00503B;Samuel International Transit et Ass;toureadama@gmail.com;07 58 67 82 24
00504C;KAOU INTERNATIONAL TRANSIT;toureadama@gmail.com;07 58 67 82 24
00505D;D-TRANSIT;toureadama@gmail.com;07 58 67 82 24
00506E;Universel Transit  RCI( UNITRA RCI);toureadama@gmail.com;07 58 67 82 24
00507F;NAHIM GROUP;toureadama@gmail.com;07 58 67 82 24
00508G;NOUVEAU SOLEIL TRANSIT ET TRANSPORT;toureadama@gmail.com;07 58 67 82 24
00510J;GLOBAL LOGISTICS ET CONSULTING;toureadama@gmail.com;07 58 67 82 24
00511K;2K Transit Inter;toureadama@gmail.com;07 58 67 82 24
00512L;Thamara Transit (THATRANS);toureadama@gmail.com;07 58 67 82 24
00514N;ROYAL EXPRESS TRANSIT (REX TRANSIT);toureadama@gmail.com;07 58 67 82 24
00515P;SOLUTION TRANSIT;toureadama@gmail.com;07 58 67 82 24
00516Q;Transit et Dédouanement Express(TED;toureadama@gmail.com;07 58 67 82 24
00517R;Andy Transit International;toureadama@gmail.com;07 58 67 82 24
00519T;APPRO-MATECH;toureadama@gmail.com;07 58 67 82 24
00520U;Faman Transit;toureadama@gmail.com;07 58 67 82 24
00529D;Centre National de Transit CI;toureadama@gmail.com;07 58 67 82 24
00530E;HANNYYAH ET SAÏD TRANSIT;toureadama@gmail.com;07 58 67 82 24
00532G;Ivoire Phenix Transit Inter;toureadama@gmail.com;07 58 67 82 24
00533H;GREENWAYS TRANSIT;toureadama@gmail.com;07 58 67 82 24
00538N;SEVEN SOLUTION TRANSIT;toureadama@gmail.com;07 58 67 82 24
00539P;CAPEWEST LOGISTICS CI;toureadama@gmail.com;07 58 67 82 24
00541R;LKL Transit et Logistics;toureadama@gmail.com;07 58 67 82 24
12000N;VIGNETTE TOURISTIQUE;toureadama@gmail.com;07 58 67 82 24
90173C;TotalEnergies Mark Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
9CINGN;BUREAU DE NIGOUNI;toureadama@gmail.com;07 58 67 82 24
C50002;SAGA CI;toureadama@gmail.com;07 58 67 82 24
C50005;CMA CGM CI;toureadama@gmail.com;07 58 67 82 24
C50006;MAERSK LINE;toureadama@gmail.com;07 58 67 82 24
C50013;CMB - ABIDJAN;toureadama@gmail.com;07 58 67 82 24
C50017;CIAM -COMP. IVOIR. D AVIT. MARITIME;toureadama@gmail.com;07 58 67 82 24
C50029;ICM;toureadama@gmail.com;07 58 67 82 24
C50038;C M N P;toureadama@gmail.com;07 58 67 82 24
C50041;SUPERMARITIME (COTE D IVOIRE);toureadama@gmail.com;07 58 67 82 24
C50054;MSC(MEDITERRANEAN SHIPPING CO.C.I);toureadama@gmail.com;07 58 67 82 24
C50062;SEA INVEST-CI;toureadama@gmail.com;07 58 67 82 24
C50073;PROPICI;toureadama@gmail.com;07 58 67 82 24
C50074;GLOBAL MANUTENTION;toureadama@gmail.com;07 58 67 82 24
C50075;REGIE D ASSISTANCE EN ESCALE;toureadama@gmail.com;07 58 67 82 24
C50084;SOCIT-COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
C50088;ATHENA SHIPPING S.A.;toureadama@gmail.com;07 58 67 82 24
C50096;GMT SHIPPING CI;toureadama@gmail.com;07 58 67 82 24
C50099;DIAMOND SHIPPING SERVICES;toureadama@gmail.com;07 58 67 82 24
C50101;SAS-CI TRANSIT;toureadama@gmail.com;07 58 67 82 24
C50103;KH  SHIPPING SARL;toureadama@gmail.com;07 58 67 82 24
C50104;MEDLOG CI;toureadama@gmail.com;07 58 67 82 24
C50109;SITD;toureadama@gmail.com;07 58 67 82 24
C50111;EMS TRANSIT;toureadama@gmail.com;07 58 67 82 24
C50114;O M A - CI;toureadama@gmail.com;07 58 67 82 24
C50116;SOMITREX-LOG;toureadama@gmail.com;07 58 67 82 24
C50133;SILS;toureadama@gmail.com;07 58 67 82 24
C50134;GRIMALDI CI;toureadama@gmail.com;07 58 67 82 24
C50138;CAPEWEST LOGISTICS;toureadama@gmail.com;07 58 67 82 24
C50143;PIL-CI;toureadama@gmail.com;07 58 67 82 24
C50146;PRO SHIPPING;toureadama@gmail.com;07 58 67 82 24
C50149;TLC S.A CI;toureadama@gmail.com;07 58 67 82 24
C50152;SOGENA CI;toureadama@gmail.com;07 58 67 82 24
C50155;R-LOGISTIC AFR.;toureadama@gmail.com;07 58 67 82 24
C50157;PRO MARINE SER.S.;toureadama@gmail.com;07 58 67 82 24
C50164;MIMA & COMPAGNIE;toureadama@gmail.com;07 58 67 82 24
C50168;SAKINA SHIPS S S;toureadama@gmail.com;07 58 67 82 24
C50169;LCMAT;toureadama@gmail.com;07 58 67 82 24
C50170;2A LOGISTICS & TR;toureadama@gmail.com;07 58 67 82 24
C50171;A C M A;toureadama@gmail.com;07 58 67 82 24
C50172;MULTILOG-CI;toureadama@gmail.com;07 58 67 82 24
C50173;O N E;toureadama@gmail.com;07 58 67 82 24
C50180;ICOMA LOGISTICS;toureadama@gmail.com;07 58 67 82 24
C50183;AFRICA CARGO CENTRAL S.A.S;toureadama@gmail.com;07 58 67 82 24
C50184;LOGEN S.;toureadama@gmail.com;07 58 67 82 24
C50185;SK SHIPPING CI;toureadama@gmail.com;07 58 67 82 24
C50191;EOLIS CONS. (ECO);toureadama@gmail.com;07 58 67 82 24
C50193;SCM-CI;toureadama@gmail.com;07 58 67 82 24
C50198;SHARAF SHIPPING AGENCY;toureadama@gmail.com;07 58 67 82 24
C50199;IVOIRE SHIPPING CONSIGNMENT;toureadama@gmail.com;07 58 67 82 24
C50200;SMM SHIPPING SERVICES;toureadama@gmail.com;07 58 67 82 24
C50202;WESTPORTS LOGISTICS CÔTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
C50203;ALLIANCE MARITIME INTERNATIONALE;toureadama@gmail.com;07 58 67 82 24
C50205;SITAD'EL;toureadama@gmail.com;07 58 67 82 24
C50206;INTERFREIGHT AND LOGISTICS (IFL);toureadama@gmail.com;07 58 67 82 24
C50207;ROMEU COTE D'IVOIRE;toureadama@gmail.com;07 58 67 82 24
C50208;UNIVERSAL SHIPPING SERVICES AND TRA;toureadama@gmail.com;07 58 67 82 24
C50209;BEST SHIPS SERVICES - CI (BSS-CI);toureadama@gmail.com;07 58 67 82 24
C50210;AFRICA LOGISTIC & MARITIME (ALM);toureadama@gmail.com;07 58 67 82 24
C50211;CONTINENTAL SHIPPING;toureadama@gmail.com;07 58 67 82 24
C50214;UNION MARITIME AGENCY;toureadama@gmail.com;07 58 67 82 24
C50218;DANIDAV & DER SARL;toureadama@gmail.com;07 58 67 82 24
P1304W;PHENIX-TRANSIT;toureadama@gmail.com;07 58 67 82 24
P1310G;LOGISTICS S.A;toureadama@gmail.com;07 58 67 82 24
P1708T;KOTRANSIM;toureadama@gmail.com;07 58 67 82 24
P1709Y;EBURLOT;toureadama@gmail.com;07 58 67 82 24
P2002A;Gao Tong Customs Clearance Company;toureadama@gmail.com;07 58 67 82 24
P2003J;KARTA Transit;toureadama@gmail.com;07 58 67 82 24
P2104F;SOLEIL TRANSIT(SO-TRANS);toureadama@gmail.com;07 58 67 82 24
P2201G;La Tulipe Transit(LTT);toureadama@gmail.com;07 58 67 82 24
P2202H;MASSOUK LOGISTIQUES;toureadama@gmail.com;07 58 67 82 24
P2203J;DJAM DKS TRANSIT;toureadama@gmail.com;07 58 67 82 24
P2501F;AYIMAN LOGISTICS Côte d'Ivoire;toureadama@gmail.com;07 58 67 82 24
P2502E;BAYA TRANSIT;toureadama@gmail.com;07 58 67 82 24
P2503D;ATLAS TRANSIT;toureadama@gmail.com;07 58 67 82 24
